ISIN;nom;ticker
BE0974310428;X-Fab;XFAB
CH0308403085;GeNeuro;GNRO
FR0000030827;Ige + Xao;IGE
FR0000031122;Air France - KLM;AF
FR0000031577;Virbac;VIRP
FR0000031684;Rothschild & Co;ROTH
FR0000031775;Vicat;VCT
FR0000032278;Latecoere;LAT
FR0000032526;Guerbet;GBT
FR0000032658;Synergie;SDG
FR0000033003;Touax;TOUP
FR0000033219;Altarea;ALTA
FR0000033243;Immob.Dassault;IMDA
FR0000033904;Jacquet Metals;JCQ
FR0000034639;Altran Techn.;ALT
FR0000035081;Icade;ICAD
FR0000035164;Beneteau;BEN
FR0000035370;Bastide Le Confort;BLC
FR0000036675;Groupe Crit;CEN
FR0000036816;Tour Eiffel;EIFF
FR0000038242;Lumibird;LBIRD
FR0000038259;Eurofins Scient.;ERF
FR0000038465;Passat;PSAT
FR0000038531;Hf;HF
FR0000038606;Manitou Bf;MTU
FR0000039091;Robertet;RBT
FR0000039109;Seche Environnement;SCHP
FR0000039232;Aurea;AURE
FR0000039299;Bollore;BOL
FR0000039620;Mersen;MRN
FR0000044448;Nexans;NEX
FR0000044612;Afone;AFO
FR0000045072;Credit Agricole;ACA
FR0000050353;Lisi;FII
FR0000050809;Sopra Steria Group;SOP
FR0000051070;Maurel Et Prom;MAU
FR0000051393;Idi;IDIP
FR0000051732;Atos;ATO
FR0000051807;Teleperformance;TEP
FR0000052292;Hermes;RMS
FR0000052516;Vilmorin Cie;RIN
FR0000052623;Dedalus France;DEDAL
FR0000052680;Oeneo;SBT
FR0000053027;Akwel;AKW
FR0000053035;Gea Grenobl.Elect.;GEA
FR0000053225;Metropole Tv;MMT
FR0000053324;Alpes (compagnie);CDA
FR0000053381;Derichebourg;DBG
FR0000053506;Cegedim;CGM
FR0000053837;Altamir;LTA
FR0000054199;St Dupont;DPT
FR0000054231;High Co;HCO
FR0000054322;Cibox Inter A Ctiv;CIB
FR0000054470;Ubisoft Entertainment;UBI
FR0000054694;Naturex;NRX
FR0000054900;Tf1;TFI
FR0000060329;Psb Industries;PSB
FR0000060402;Albioma;ABIO
FR0000060832;Precia;PREC
FR0000060873;Marie Brizard Wine and Spirits;MBWS
FR0000060949;Tivoly;TVLY
FR0000061129;Boiron;BOI
FR0000062671;Groupe Gorge;GOE
FR0000062796;Vranken Monopole;VRAP
FR0000062804;Alpha Mos;ALM
FR0000062978;Adl Partner;ALP
FR0000063091;Anf Immobilier;ANF
FR0000063737;Aubay;AUB
FR0000063935;Bonduelle;BON
FR0000064297;Innelec Multimedia;INN
FR0000064404;Media 6;EDI
FR0000064446;CIS (Catering Intl Sces);CTRG
FR0000064578;Covivio;COV
FR0000064784;FFP;FFP
FR0000065278;Hopscotch Groupe;HOP
FR0000065484;Lectra;LSS
FR0000065864;Sogeclair;SOG
FR0000066052;Avenir Telecom;AVT
FR0000066540;Herige;ALHRG
FR0000066607;Lacroix Industries;LACR
FR0000066672;Gl Events;GLO
FR0000066722;Guillemot;GUI
FR0000066755;Haulotte Group;PIG
FR0000071797;Infotel;INF
FR0000071946;Alten;ATE
FR0000072373;Egide;GID
FR0000072399;Belier;BELI
FR0000072597;It Link;ITL
FR0000072894;Cast;CAS
FR0000073041;Pierre Vacances;VAC
FR0000073272;Safran;SAF
FR0000073298;Ipsos;IPS
FR0000073793;Devoteam;DVT
FR0000073843;ITS group;ITS
FR0000074072;Bigben Interactive;BIG
FR0000074148;Assystem;ASY
FR0000074197;Union Tech.Infor.;FPG
FR0000074759;Fleury Michon;FLE
FR0000074783;Artmarket.com;PRC
FR0000075442;Groupe LDLC;ALLDL
FR0000075954;Riber;RIB
FR0000076655;Actia Group;ATI
FR0000076861;Acteos;EOS
FR0000076887;Ast Groupe;ASP
FR0000077570;Micropole;MUN
FR0000077919;Jc Decaux Sa.;DEC
FR0000079634;Geci Intl;GECP
FR0000120073;Air Liquide;AI
FR0000120172;Carrefour;CA
FR0000120222;Cnp Assurances;CNP
FR0000120271;Total;FP
FR0000120321;L'oreal;OR
FR0000120354;Vallourec;VK
FR0000120388;Recylex;RX
FR0000120404;Accor Hotels;AC
FR0000120503;Bouygues;EN
FR0000120560;Quadient;QDT
FR0000120578;Sanofi;SAN
FR0000120628;Axa;CS
FR0000120644;Danone;BN
FR0000120669;Esso;ES
FR0000120685;Natixis;KN
FR0000120693;Pernod Ricard;RI
FR0000120859;Imerys;NK
FR0000120966;Bic;BB
FR0000121014;Lvmh;MC
FR0000121121;Eurazeo;RF
FR0000121147;Faurecia;EO
FR0000121204;Wendel Invest.;MF
FR0000121220;Sodexo;SW
FR0000121261;Michelin;ML
FR0000121295;Lebon;LBON
FR0000121329;Thales;HO
FR0000121485;Kering;KER
FR0000121501;Peugeot;UG
FR0000121667;EssilorLuxottica;EL
FR0000121709;Seb;SK
FR0000121725;Dassault Aviation;AM
FR0000121964;Klepierre;LI
FR0000121972;Schneider Electric;SU
FR0000124141;Veolia Environ.;VIE
FR0000124570;Plastic Omnium;POM
FR0000125007;Saint Gobain;SGO
FR0000125338;CapGemini;CAP
FR0000125346;Ingenico Group;ING
FR0000125486;Vinci;DG
FR0000125585;Casino Guichard;CO
FR0000127771;Vivendi;VIV
FR0000130213;Lagardere;MMB
FR0000130395;Remy Cointreau;RCO
FR0000130452;Eiffage;FGR
FR0000130577;Publicis Groupe;PUB
FR0000130650;Dassault Systemes;DSY
FR0000130692;Chargeurs;CRI
FR0000130809;Societe Generale;GLE
FR0000131104;Bnp Paribas;BNP
FR0000131757;Eramet;ERA
FR0000131906;Renault;RNO
FR0000133308;Orange;ORA
FR0000182479;Archos;JXR
FR0000184798;Orpea;ORP
FR0004007813;Kaufman Et Broad;KOF
FR0004016699;Smtpc;SMTPC
FR0004024222;Interparfums;ITP
FR0004026151;Itesoft;ITE
FR0004029411;Keyrus;KEY
FR0004031763;Coheris;COH
FR0004034072;Xilam Animation;XIL
FR0004035913;Iliad;ILD
FR0004037125;April;APR
FR0004040608;Abc Arbitrage;ABCA
FR0004050300;Groupe Open;OPN
FR0004056851;Valneva;VLA
FR0004076891;Groupe Flo;FLO
FR0004110310;Esi Group;ESI
FR0004125920;Amundi;AMUN
FR0004152874;Advenis;ADV
FR0004154060;Netgem;NTG
FR0004155000;Groupe Sfpi;SFPI
FR0004156297;Linedata Services;LIN
FR0004159473;Hexaom;HEXA
FR0004163111;Genfit;GNFT
FR0004170017;LNA SANTE;LNA
FR0004177046;Metabolic Explorer;METEX
FR0004180537;Akka Technologies;AKA
FR0004180578;Sword Group;SWP
FR0004188670;Tarkett;TKTT
FR0004548873;Bourbon Corporation;GBB
FR0005175080;Transgene;TNG
FR0005691656;Trigano;TRI
FR0006174348;Bureau Veritas;BVI
FR0007317813;CS (Com. et Systemes);SX
FR0010040865;Gecina Nom.;GFC
FR0010095596;Onxeo;ONXEO
FR0010112524;Nexity;NXI
FR0010193052;Catana Group;CATG
FR0010193979;CBO Territoria;CBOT
FR0010208488;Engie;ENGI
FR0010214064;Groupe Pizzorno Environnement;GPE
FR0010220475;Alstom;ALO
FR0010221234;Eutelsat Com.;ETL
FR0010241638;Mercialys;MERY
FR0010242511;EDF;EDF
FR0010259150;Ipsen;IPN
FR0010282822;SES Imagotag;SESL
FR0010291245;Verimatrix;VMX
FR0010298620;Memscap;MEMS
FR0010307819;Legrand SA;LR
FR0010313833;Arkema;AKE
FR0010331421;Innate Pharma;IPH
FR0010340141;Adp;ADP
FR0010380626;Prologue;PROL
FR0010386334;Korian;KORI
FR0010395681;Altur Investissement;ALTUR
FR0010411983;Scor;SCR
FR0010417345;Dbv Technologies;DBV
FR0010428771;Olympique Lyonnais (Groupe);OLG
FR0010436584;DNXCorp;ALDNX
FR0010451203;Rexel;RXL
FR0010478248;Atari;ATA
FR0010490920;EuropaCorp;ECP
FR0010501692;Generix;GENX
FR0010526814;SuperSonic Imagine;SSI
FR0010533075;Getlink (ex: Eurotunnel);GET
FR0010557264;Ab Science;AB
FR0010609263;Mauna Kea;MKEA
FR0010613471;Suez Environnement;SEV
FR0010667147;Coface;COFA
FR0010828137;Carmila;CARM
FR0010908533;Edenred;EDEN
FR0010918292;Technicolor;TCH
FR0010929125;ID Logistics;IDL
FR0010949404;Stentys;STNT
FR0011026749;Dalet;DLT
FR0011040500;Axway Software;AXW
FR0011051598;Amoeba Biocide;AMEBA
FR0011184241;Adocia;ADOC
FR0011191766;Eos Imaging;EOSI
FR0011271600;Fermentalg;FALG
FR0011277391;Fonciere Paris Nord;FPN
FR0011289040;SQLI;SQI
FR0011341205;Nanobiotix;NANO
FR0011466069;Ekinops;EKI
FR0011471135;Erytech Pharma;ERYP
FR0011471291;Ymagis;MAGIS
FR0011476928;Fnac Darty;FNAC
FR0011665280;Figeac Aero;FGA
FR0011726835;GTT;GTT
FR0011742329;McPhy Energy;MCPHY
FR0011790542;Genkyotex;GKTX
FR0011799907;Genomic Vision;GV
FR0011800218;Awox;AWOX
FR0011950641;Pixium Vision;ALPIX
FR0011950682;Sergeferrari Group;SEFER
FR0011950732;Elior Group;ELIOR
FR0011981968;Worldline;WLN
FR0011992700;Ateme;ATEME
FR0011995588;Voltalia;VLTSA
FR0012127173;Ose Immunotherapeutics;OSE
FR0012202497;Diagnostic Medical;DGM
FR0012333284;Abivax;ABVX
FR0012432516;Poxel;POXEL
FR0012435121;Elis;ELIS
FR0012612646;Groupe Partouche;PARP
FR0012613610;Prodways Group;PWG
FR0012616852;Abionyx Pharma;ABNX
FR0012757854;Spie;SPIE
FR0012789667;Amplitude Surgical;AMPLI
FR0012789949;Europcar Mobility;EUCAR
FR0012821890;Adux;ADUX
FR0012821916;Hipay Group;HIPAY
FR0012872141;Jacques Bogart;JBOG
FR0012882389;Pharmagest Inter.;PHA
FR0012938884;Solocal Group;LOCAL
FR0012969095;Capelli;CAPLI
FR0013006558;Showroomprive;SRP
FR0013018041;Navya;NAVYA
FR0013018124;Nicox;COX
FR0013030152;Francaise de l’Energie;LFDE
FR0013153541;Maisons du Monde;MDM
FR0013154002;Sartorius Stedim Biotech;DIM
FR0013176526;Valeo;FR
FR0013181864;CGG;CGG
FR0013183589;Aures Technologies;AURS
FR0013183985;GenSight Biologics;SIGHT
FR0013185857;Abeo;ABEO
FR0013190410;Orchestra-Premaman;KAZI
FR0013214145;Smcp;SMCP
FR0013227113;Soitec Silicon;SOI
FR0013230612;Tikehau Capital;TKO
FR0013233012;Inventiva;IVA
FR0013233475;Lysogene;LYS
FR0013247137;Mediawan;MDW
FR0013252186;Plast. Val de Loire;PVL
FR0013258399;Balyo;BALYO
FR0013258589;Antalis;ANTA
FR0013258662;Ald;ALD
FR0013269123;Rubis;RUI
FR0013280286;Biomerieux;BIM
FR0013283108;Delta Plus Group;DLTA
FR0013284080;Biom Up;BUP
FR0013296746;Advicenne;ADVIC
FR0013318813;PARAGON ID;PID
FR0013326246;Unibail Rodamco Wes;URW
FR0013341781;2crsi;2CRSI
FR0013357621;Wavestone;WAVE
FR0013426004;Claranova;CLA
FR0013467123;Safe Orthopaedics;ALSAF
GA0000121459;Total Gabon;EC
GB00BDSFG982;TechnipFMC;FTI
LU0088087324;SES Sa;SESG
LU0569974404;Aperam;APAM
LU1598757687;Arcelor Mittal;MT
NL0000226223;Stmicroelectronics;STM
NL0000235190;Airbus;AIR
NL0006294274;Euronext;ENX
BE0003470755;Solvay;SOLB
BE0003470755;Solvay;SOLB
FR0000031122;Air France - KLM;AF
FR0000031684;Rothschild & Co;ROTH
FR0000034639;Altran Techn.;ALT
FR0000035081;Icade;ICAD
FR0000038259;Eurofins Scient.;ERF
FR0000039299;Bollore;BOL
FR0000044448;Nexans;NEX
FR0000045072;Credit Agricole;ACA
FR0000050809;Sopra Steria Group;SOP
FR0000051732;Atos;ATO
FR0000051807;Teleperformance;TEP
FR0000052292;Hermes;RMS
FR0000053225;Metropole Tv;MMT
FR0000054470;Ubisoft Entertainment;UBI
FR0000054900;Tf1;TFI
FR0000064578;Covivio;COV
FR0000071946;Alten;ATE
FR0000073272;Safran;SAF
FR0000073298;Ipsos;IPS
FR0000077919;Jc Decaux Sa.;DEC
FR0000120073;Air Liquide;AI
FR0000120172;Carrefour;CA
FR0000120222;Cnp Assurances;CNP
FR0000120271;Total;FP
FR0000120321;L'oreal;OR
FR0000120354;Vallourec;VK
FR0000120404;Accor Hotels;AC
FR0000120503;Bouygues;EN
FR0000120560;Quadient;QDT
FR0000120578;Sanofi;SAN
FR0000120628;Axa;CS
FR0000120644;Danone;BN
FR0000120685;Natixis;KN
FR0000120693;Pernod Ricard;RI
FR0000120859;Imerys;NK
FR0000120966;Bic;BB
FR0000121014;Lvmh;MC
FR0000121121;Eurazeo;RF
FR0000121147;Faurecia;EO
FR0000121204;Wendel Invest.;MF
FR0000121220;Sodexo;SW
FR0000121261;Michelin;ML
FR0000121329;Thales;HO
FR0000121485;Kering;KER
FR0000121501;Peugeot;UG
FR0000121667;EssilorLuxottica;EL
FR0000121709;Seb;SK
FR0000121725;Dassault Aviation;AM
FR0000121964;Klepierre;LI
FR0000121972;Schneider Electric;SU
FR0000124141;Veolia Environ.;VIE
FR0000124570;Plastic Omnium;POM
FR0000125007;Saint Gobain;SGO
FR0000125338;CapGemini;CAP
FR0000125346;Ingenico Group;ING
FR0000125486;Vinci;DG
FR0000125585;Casino Guichard;CO
FR0000127771;Vivendi;VIV
FR0000130213;Lagardere;MMB
FR0000130395;Remy Cointreau;RCO
FR0000130452;Eiffage;FGR
FR0000130577;Publicis Groupe;PUB
FR0000130650;Dassault Systemes;DSY
FR0000130809;Societe Generale;GLE
FR0000131104;Bnp Paribas;BNP
FR0000131757;Eramet;ERA
FR0000131906;Renault;RNO
FR0000133308;Orange;ORA
FR0000184798;Orpea;ORP
FR0004035913;Iliad;ILD
FR0004125920;Amundi;AMUN
FR0004163111;Genfit;GNFT
FR0004180537;Akka Technologies;AKA
FR0004188670;Tarkett;TKTT
FR0005691656;Trigano;TRI
FR0006174348;Bureau Veritas;BVI
FR0010040865;Gecina Nom.;GFC
FR0010112524;Nexity;NXI
FR0010208488;Engie;ENGI
FR0010220475;Alstom;ALO
FR0010221234;Eutelsat Com.;ETL
FR0010241638;Mercialys;MERY
FR0010242511;EDF;EDF
FR0010259150;Ipsen;IPN
FR0010307819;Legrand SA;LR
FR0010313833;Arkema;AKE
FR0010340141;Adp;ADP
FR0010386334;Korian;KORI
FR0010411983;Scor;SCR
FR0010417345;Dbv Technologies;DBV
FR0010451203;Rexel;RXL
FR0010533075;Getlink (ex: Eurotunnel);GET
FR0010613471;Suez Environnement;SEV
FR0010667147;Coface;COFA
FR0010908533;Edenred;EDEN
FR0010918292;Technicolor;TCH
FR0011476928;Fnac Darty;FNAC
FR0011726835;GTT;GTT
FR0011950732;Elior Group;ELIOR
FR0011981968;Worldline;WLN
FR0012435121;Elis;ELIS
FR0012757854;Spie;SPIE
FR0012789949;Europcar Mobility;EUCAR
FR0013153541;Maisons du Monde;MDM
FR0013154002;Sartorius Stedim Biotech;DIM
FR0013176526;Valeo;FR
FR0013181864;CGG;CGG
FR0013227113;Soitec Silicon;SOI
FR0013258662;Ald;ALD
FR0013269123;Rubis;RUI
FR0013280286;Biomerieux;BIM
FR0013326246;Unibail Rodamco Wes;URW
FR0013451333;La Francaise des jeux - FDJ;FDJ
GB00BDSFG982;TechnipFMC;FTI
LU0088087324;SES Sa;SESG
LU0569974404;Aperam;APAM
LU1598757687;Arcelor Mittal;MT
NL0000226223;Stmicroelectronics;STM
NL0000235190;Airbus;AIR
NL0006294274;Euronext;ENX
QS0011017603;CAC Petrole et Gaz;FROG
QS0011017637;CAC Materiaux de base;FRBM
QS0011017652;CAC Industries;FRIN
QS0011017686;CAC Biens de consommation;FRCG
QS0011017702;CAC Sante;FRHC
QS0011017736;CAC Services aux consommateurs;FRCS
QS0011017769;CAC Telecommunications;FRTEL
QS0011017785;CAC Services aux collectivites;FRUT
QS0011017801;CAC Finances;FRFIN
QS0011017827;CAC Technologie;FRTEC
BE0160342011;Coil;ALCOI
BE0974284169;KKO International;ALKKO
BE0974299316;Invibes Advertising;ALINV
BE0974302342;Pharmasimple;ALPHS
BE0974334667;Audiovalley;ALAVY
CA4433003064;H20 Innovation;ALHEO
CY0104972217;Primecity;ALPCI
ES0105089009;Lleida.net;ALLLN
ES0105118006;Quadpack;ALQP
ES0109429037;Antevenio;ALANT
FR0000033599;Lexibook Linguist.;ALLEX
FR0000033888;Gevelot;ALGEV
FR0000035305;Bd Multi Media;ALBDM
FR0000035818;Esker;ALESK
FR0000037640;Rougier S.A.;ALRGR
FR0000044810;Europlasma;ALEUP
FR0000044943;Logic Instrument;ALLOG
FR0000045122;Entreprendre;ALENR
FR0000053076;Ada;ALADA
FR0000054132;Delfingen;ALDEL
FR0000054421;Bourrelier Group;ALBOU
FR0000054652;Ales Groupe;ALPHY
FR0000060840;Devernois;ALDEV
FR0000061244;Mecelec;ALMEC
FR0000061582;SI Participations;ALSIP
FR0000061608;Piscines Desjoyaux;ALPDX
FR0000062184;Idsud;ALIDS
FR0000064529;Nsc Groupe;ALNSC
FR0000066441;Poujoulat;ALPJT
FR0000066540;Herige;ALHRG
FR0000066961;Bernard Loiseau;ALDBL
FR0000072993;Makheia Group;ALMAK
FR0000073728;Serma Technologies;ALSER
FR0000074775;Stradim Espac.Fin.;ALSAS
FR0000075442;Groupe LDLC;ALLDL
FR0000075673;Le Tanneur;LTAN
FR0000077562;Hiolle Industries;ALHIO
FR0000079147;U10 Corp.;ALU10
FR0000079683;Artefact;ALATF
FR0000124414;Groupe Gascogne;ALBI
FR0000185423;Damartex;ALDAR
FR0000185621;Keyyo;ALKEY
FR0004022754;Dolphin Integrat.;ALDOL
FR0004027068;Lanson-BCC;ALLAN
FR0004029478;Visiativ;ALVIV
FR0004030708;Encres Dubuit;ALDUB
FR0004032746;Neovacs;ALNEV
FR0004034320;Mr Bricolage;MRB
FR0004034593;Fashion B Air;ALFBA
FR0004043487;Traqueur;ALTRA
FR0004044600;Prismaflex Intl;ALPRI
FR0004045847;Voyageurs du monde;ALVDM
FR0004053510;Genoway;ALGEN
FR0004058949;Microwave Vision;ALMIC
FR0004065639;NSE;ALNSE
FR0004152882;Clasquin;ALCLA
FR0004153930;Hybrigenics;ALHYG
FR0004155240;Vergnet;ALVER
FR0004155687;Mastrad;ALMAS
FR0004166197;Evolis;ALTVO
FR0004171346;Nextedia;ALNXT
FR0004172450;Mint;ALBUD
FR0004174233;Bilendi;ALBLD
FR0004175099;Tronics Microsystems;ALTRO
FR0004176535;Astellia;ALAST
FR0004178572;Medicrea;ALMED
FR0004187367;Freelance.com;ALFRE
FR0004197747;Theradiag;ALTER
FR0005854700;I2S;ALI2S
FR0007080254;Les Hotels Baverez;ALLHB
FR0010082305;Ivalis;ALIVA
FR0010120402;Theraclion;ALTHE
FR0010131409;Wallix;ALLIX
FR0010169920;Predilife;ALPRE
FR0010202606;Sidetrade;ALBFR
FR0010204453;MG International;ALMGI
FR0010207795;Harvest;ALHVS
FR0010211037;Planet;ALPLA
FR0010221069;FILAE;ALFIL
FR0010231860;O2i;ALODI
FR0010245803;Velcan;ALVEL
FR0010246322;Easyvista;ALEZV
FR0010278762;Envea;ALTEV
FR0010285965;1000Mercis;ALMIL
FR0010304402;Millet Innovation;ALINN
FR0010313486;Prodware;ALPRO
FR0010326090;Vialife;ALVIA
FR0010330613;Ober;ALOBR
FR0010337444;Weborama;ALWEB
FR0010337865;Upergy;ALUPG
FR0010340711;Aquila;ALAQU
FR0010342329;Gaussin;ALGAU
FR0010343186;Heurtey Petrochem;ALHPC
FR0010353888;MGI Digital Graphic;ALMDG
FR0010377127;Dietswell Engineering;ALDIE
FR0010383877;Tti;ALTTI
FR0010396309;Hitechpros;ALHIT
FR0010397232;Novacyt;ALNOV
FR0010397901;Trilogiq;ALTRI
FR0010404368;Dlsi;ALDLS
FR0010424697;Entreparticuliers.com;ALENT
FR0010425595;Cellectis;ALCLS
FR0010436584;DNXCorp;ALDNX
FR0010446765;HolosFind;ALHOL
FR0010452474;Eurogerm;ALGEM
FR0010457531;Adthink Media;ALADM
FR0010458729;Implanet;ALIMP
FR0010465534;Eo2;ALEO2
FR0010485268;Fountaine Pajot;ALFPC
FR0010490961;Groupimo;ALIMO
FR0010493510;Acheter-Louer;ALALO
FR0010523167;Roctool;ALROC
FR0010528059;Streamwide;ALSTW
FR0010554113;Emova Group;ALEMV
FR0010641449;AgroGeneration;ALAGR
FR0010654087;Txcom;ALTXC
FR0010688440;Wedia;ALWED
FR0010722819;Kalray;ALKAL
FR0010766667;Vente Unique;ALVU
FR0010776617;Sapmer;ALMER
FR0010785790;Plant Advanced Technologies;ALPAT
FR0010795476;A2micile Europe;ALA2M
FR0010812230;Madvertise;ALMNG
FR0010820274;Reworld Media;ALREW
FR0010844001;Eurasia Groupe;ALEUA
FR0010879056;Deinove;ALDEI
FR0010889386;Qwamplify;ALQWA
FR0010907956;Carmat;ALCAR
FR0010908723;Integragen;ALINT
FR0011005933;Biosynex;ALBIO
FR0011033083;Moulinvest;ALMOU
FR0011038348;Actiplay;ALACT
FR0011041011;Bluelinea;ALBLU
FR0011049824;Median Technologies;ALMDT
FR0011052257;Global Bioenergies;ALGBE
FR0011053636;The Blockchain GP;ALTBG
FR0011067669;Visiomed;ALVMG
FR0011070457;Ucar;ALUCR
FR0011071570;Cogra 48;ALCOG
FR0011072602;Vexim;ALVXM
FR0011179886;Intrasense;ALINS
FR0011191287;Pharnext;ALPHA
FR0011208693;Gold by Gold;ALGLD
FR0011217710;Methanor;ALMET
FR0011289198;Global Ecopower;ALGEP
FR0011398874;Spineway;ALSPW
FR0011462803;Gaussin BSAR;GAUBS
FR0011464452;Spineguard;ALSGD
FR0011490648;Ecoslops;ALESA
FR0011511971;I.Ceram;ALICR
FR0011522168;Delta Drone;ALDR
FR0011532225;Vogo;ALVGO
FR0011584549;Mnd;ALMND
FR0011636083;Neolife;ALNLF
FR0011648716;Carbios;ALCRB
FR0011648971;Quantum Genomics;ALQGC
FR0011651819;Technofirst;ALFST
FR0011716265;Crossject;ALCJ
FR0011766229;Oncodesign;ALONC
FR0011858190;Realites;ALREA
FR0011884378;Lucibel;ALUCI
FR0011898584;Uv Germi;ALUVI
FR0011910652;Anevia;ALANV
FR0011915339;Enertime;ALENE
FR0011928407;O2i BSAAR 2019;ODIBS
FR0012160661;Europlasma BSB;EURBT
FR0012407096;Oceasoft;ALOCA
FR0012419307;Focus Home Interactive;ALFOC
FR0012596468;Sensorion;ALSEN
FR0012709160;Uniti;ALUNT
FR0012788065;Biocorp;ALCOR
FR0012816825;Biophytis;ALBPS
FR0012819381;Groupe Guillin;ALGIL
FR0013015583;Poulaillon;ALPOU
FR0013053535;Miliboo;ALMLB
FR0013060100;Immersion;ALIMR
FR0013066750;DBT;ALDBT
FR0013079092;We.Connect;ALWEC
FR0013088606;Drone Volt;ALDRV
FR0013143872;Witbe;ALWIT
FR0013156007;Kerlink;ALKLK
FR0013178712;Cerinnov group;ALPCV
FR0013186061;Gaussin BSA;GAUBT
FR0013204070;Groupe Parot;ALPAR
FR0013204351;Cybergun;ALCYB
FR0013219367;Horizontal Software;ALHSW
FR0013220530;Cogra 48 BSAR;COGBS
FR0013231180;Osmozis;ALOSM
FR0013240934;Eurobio-Scientific;ALERS
FR0013245123;Emova BS;ALEBS
FR0013247228;Adomos BS;ALABS
FR0013247244;Adomos;ALADO
FR0013254851;Valbiotis;ALVAL
FR0013256518;Eurofins Cerep;ALECR
FR0013257409;Cofidur;ALCOF
FR0013260973;Theradiag BSAR;ALTBS
FR0013263878;Umanis;ALUMS
FR0013268042;O2i BSA;O2IBS
FR0013268091;Anevia BS;ANVBS
FR0013270626;M2I;ALMII
FR0013274545;Quangen BSA27JAN20;QGCBT
FR0013284627;Adeunis;ALARF
FR0013286259;Theranexus;ALTHX
FR0013297165;Cesar;ALCES
FR0013318052;Ordissimo;ALORD
FR0013328184;Oxatis;ALOXA
FR0013330792;Enensys Technologies;ALNN6
FR0013331212;Dontnod Entertainment;ALDNE
FR0013345493;Bio UV Group;ALTUV
FR0013379484;Solutions 30;ALS30
FR0013384369;Baikowski;ALBKK
FR0013398997;Arcure;ALCUR
FR0013400835;Mare Nostrum;ALMAR
FR0013400983;Delta Drone BSA J;ALDSJ
FR0013410370;Auplata Mining Gr;ALAMG
FR0013429404;Groupe Tera;ALGTR
FR0013451044;Hoffmann Green Cement Tech.;ALHGR
FR0013452281;Agripower;ALAGP
FR0013462231;Munic;ALMUN
FR0013467123;Safe Orthopaedics;ALSAF
FR0013479730;Paulic Meunerie;ALPAU
GB00B2R1Q018;Ospreyfranck;ALOSP
IT0004615396;Methorios Capital;ALMTH
IT0005119109;Mybest Group;ALMBG
IT0005351504;Ediliziacrobatica;ALEAC
IT0005353484;Seif SPA;ALSEI
IT0005380438;Media Maker SPA;ALKER
NL0012044762;Noxxon;ALNOX
NL0012191662;La Perla Fashion Holding;ALPER
BE0003470755;Solvay;SOLB
FR0000031122;Air France - KLM;AF
FR0000051807;Teleperformance;TEP
FR0000054470;Ubisoft Entertainment;UBI
FR0000120685;Natixis;KN
FR0000121147;Faurecia;EO
FR0000121964;Klepierre;LI
FR0000125346;Ingenico Group;ING
FR0000130452;Eiffage;FGR
FR0006174348;Bureau Veritas;BVI
FR0010040865;Gecina Nom.;GFC
FR0010220475;Alstom;ALO
FR0010242511;EDF;EDF
FR0010313833;Arkema;AKE
FR0010411983;Scor;SCR
